
----QMATRIX: [Sensed Threat] > ACTION == UTILITY------
eration Qty: 1000.0
Learning Rate: 0.1
Discount Factor: 0.9
Decay: 0.15
Max View Distance: 10.0

-----SIMULATION STEPS------
Steps | Exploration Rate | QMatrix Size | Crashes | Victories | Distance Moved | Speed
379 43.14942 29 8 10 240.26991 0.029908912
380 42.99942 30 8 10 240.87204 0.029290713
381 42.84942 31 9 10 241.4811 0.03199825
382 42.699417 31 9 10 242.12212 0.04667307
383 42.549416 31 9 10 243.06816 0.04667307
384 42.399414 31 9 10 244.01408 0.034504194
385 42.249413 31 9 10 244.70831 0.034173857
386 42.09941 32 9 10 245.37968 0.031568192
387 41.94941 32 9 10 246.02057 0.03367756
388 41.799408 32 9 10 246.6921 0.046603415
389 41.649406 32 9 10 247.63797 0.031114988
390 41.499405 32 9 10 248.24835 0.03328517
391 41.349403 32 9 10 248.91974 0.03287814
392 41.1994 33 9 10 249.56111 0.04653675
393 41.0494 34 9 10 250.50699 0.030804997
394 40.8994 34 9 10 251.11734 0.030691985
395 40.749397 34 9 10 251.7277 0.03197495
396 40.599396 35 9 10 252.3685 0.023604594
397 40.449394 35 9 10 252.85686 0.031577196
398 40.299393 36 10 10 253.50188 0.031108864
399 40.14939 36 10 10 254.11227 0.034776494
400 39.99939 36 10 10 254.81398 0.015573124
401 39.84939 36 10 10 255.11935 0.03447024
402 39.699387 36 10 10 255.81178 0.031116432
403 39.549385 37 10 10 256.42218 0.034165557
404 39.399384 37 10 10 257.0937 0.04663752
405 39.249382 37 10 10 258.0091 0.033811674
406 39.09938 37 10 10 258.68048 0.03345971
407 38.94938 37 10 10 259.35187 0.033101834
408 38.799377 37 10 10 260.02325 0.03272112
409 38.649376 38 10 10 260.69455 0.02348356
410 38.499374 38 10 10 261.18304 0.046519246
411 38.349373 38 10 10 262.09845 0.032310333
412 38.19937 38 10 10 262.7698 0.030525254
413 38.04937 38 10 10 263.3803 0.046436135
414 37.89937 38 10 10 264.2957 0.031577196
415 37.749367 38 10 10 264.90604 0.030128201
416 37.599365 38 10 10 265.51654 0.046299905
417 37.449364 38 10 10 266.43207 0.046284337
418 37.299362 38 10 10 267.34744 0.030591002
419 37.14936 39 10 10 267.9578 0.02956856
420 36.99936 39 10 10 268.56808 0.023935858
421 36.849358 39 10 10 269.05643 0.031105857
422 36.699356 39 10 10 269.66678 0.029853558
423 36.549355 39 10 10 270.27713 0.029229866
424 36.399353 40 10 10 270.8469 0.03111645
425 36.24935 40 10 10 271.45724 0.03111645
426 36.09935 40 10 10 272.0676 0.028862571
427 35.94935 41 10 10 272.63388 0.031119099
428 35.799347 41 11 10 273.25098 0.034785025
429 35.649345 41 11 10 273.92236 0.03447866
430 35.499344 42 11 10 274.59366 0.023341289
431 35.349342 42 11 10 275.08194 0.023341289
432 35.19934 42 11 10 275.57043 0.046654873
433 35.04934 43 11 10 276.48575 0.023341965
434 34.899338 43 11 10 276.97412 0.034182165
435 34.749336 43 11 10 277.64548 0.031568192
436 34.599335 43 11 10 278.25568 0.015654603
437 34.449333 43 11 10 278.56104 0.033702936
